FIRST COME FIRST SERVED TRIALS (n=5)
Trial 1 Average Turnaround Time: 578ns
Trial 2 Average Turnaround Time: 577ns
Trial 3 Average Turnaround Time: 576ns
Trial 4 Average Turnaround Time: 576ns
Trial 5 Average Turnaround Time: 576ns
Trial 6 Average Turnaround Time: 576ns
Trial 7 Average Turnaround Time: 577ns
Trial 8 Average Turnaround Time: 576ns
Trial 9 Average Turnaround Time: 576ns
Trial 10 Average Turnaround Time: 577ns
Trial 11 Average Turnaround Time: 576ns
Trial 12 Average Turnaround Time: 576ns
Trial 13 Average Turnaround Time: 576ns
Trial 14 Average Turnaround Time: 576ns
Trial 15 Average Turnaround Time: 576ns
Trial 16 Average Turnaround Time: 577ns
Trial 17 Average Turnaround Time: 576ns
Trial 18 Average Turnaround Time: 576ns
Trial 19 Average Turnaround Time: 576ns
Trial 20 Average Turnaround Time: 576ns
n=5 Average Turnaround Time: 576
FIRST COME FIRST SERVED TRIALS (n=10)
Trial 1 Average Turnaround Time: 1482ns
Trial 2 Average Turnaround Time: 1483ns
Trial 3 Average Turnaround Time: 1482ns
Trial 4 Average Turnaround Time: 1481ns
Trial 5 Average Turnaround Time: 1482ns
Trial 6 Average Turnaround Time: 1482ns
Trial 7 Average Turnaround Time: 1482ns
Trial 8 Average Turnaround Time: 1482ns
Trial 9 Average Turnaround Time: 1482ns
Trial 10 Average Turnaround Time: 1482ns
Trial 11 Average Turnaround Time: 1481ns
Trial 12 Average Turnaround Time: 1483ns
Trial 13 Average Turnaround Time: 1481ns
Trial 14 Average Turnaround Time: 1481ns
Trial 15 Average Turnaround Time: 1482ns
Trial 16 Average Turnaround Time: 1484ns
Trial 17 Average Turnaround Time: 1482ns
Trial 18 Average Turnaround Time: 1482ns
Trial 19 Average Turnaround Time: 1482ns
Trial 20 Average Turnaround Time: 1481ns
n=10 Average Turnaround Time: 1481
FIRST COME FIRST SERVED TRIALS (n=15)
Trial 1 Average Turnaround Time: 1839ns
Trial 2 Average Turnaround Time: 1838ns
Trial 3 Average Turnaround Time: 1838ns
Trial 4 Average Turnaround Time: 1837ns
Trial 5 Average Turnaround Time: 1838ns
Trial 6 Average Turnaround Time: 1838ns
Trial 7 Average Turnaround Time: 1839ns
Trial 8 Average Turnaround Time: 1840ns
Trial 9 Average Turnaround Time: 1838ns
Trial 10 Average Turnaround Time: 1837ns
Trial 11 Average Turnaround Time: 1837ns
Trial 12 Average Turnaround Time: 1838ns
Trial 13 Average Turnaround Time: 1839ns
Trial 14 Average Turnaround Time: 1837ns
Trial 15 Average Turnaround Time: 1837ns
Trial 16 Average Turnaround Time: 1838ns
Trial 17 Average Turnaround Time: 1837ns
Trial 18 Average Turnaround Time: 1838ns
Trial 19 Average Turnaround Time: 1837ns
Trial 20 Average Turnaround Time: 1838ns
n=15 Average Turnaround Time: 1837
